TVM-Name|TVM-ID|EPGDATA-Name|EPGDATA-ID|TVSP-Name|TVSP-ID|VDR-Channel-Namen
||||Sky Arts HD|ARTS|'Sky Arts HD'
Sky Atlantic HD|429|Sky Atlantic HD|767|Sky Atlantic HD|SKYAT|'Sky Atlantic' 'Sky Atlantic HD'
Sky Cinema +1|271|Sky Cinema +1|611|Sky Cinema+1|CIN1|'Sky Cinema+1' 'Sky Cinema+1 HD' 'Sky Cinema +1' 'Sky Cinema +1 HD'
SKY Cinema +24|272|Sky Cinema +24|612|Sky Cinema+24|CIN24|'Sky Cinema+24' 'Sky Cinema+24 HD' 'Sky Cinema +24' 'Sky Cinema +24 HD'
SKY Cinema|270|Sky Cinema|610|Sky Cinema|CIN|'Sky Cinema'
SKY Cinema Family|169|||Sky Family|SKY-F|'Sky Cinema Family' 'Sky Cinema FamilyHD'  'Sky Cinema Family HD'
SKY Cinema HD|270hd|Sky Cinema HD|629|||'Sky Cinema HD'
SKY Cinema Hits|273|Sky Cinema Hits|618|||'Sky Hits' 'Sky Disney Prinzessinnen' 'Sky Cinema Hits'
SKY Cinema Hits HD|273hd|Sky Cinema Hits HD|10059|Sky Hits HD|SKY-H|'Sky Hits HD' 'Sky Disney Prinzessinnen HD' 'Sky Cinema Hits HD'
SKY Comedy|276|Sky Cinema Comedy|617|Sky Comedy|SKY-C|'Sky Comedy' 'Sky Cinema Comedy'
SKY Emotion|275|Sky Cinema Emotion|616|Sky Emotion|SKY-E|'Sky Emotion' 'Sky Cinema Emotion'
SKY Fuball Bundesliga|288|Sky Bundesliga|623|Sky Bundesliga|BULI|'Sky Bundesliga 1' 'Sky Bundesliga HD 1'
SKY Krimi|278|Sky Krimi|615|Sky Krimi|SKY-K|'Sky Krimi'
SKY Nostalgie|277|Sky Cinema Nostalgie|614|Sky Nostalgie|SKY-N|'Sky Nostalgie' 'Sky Cinema Nostalgie'
SKY Sport 1|289|Sky Sport 1|619|||'Sky Sport 1'
SKY Sport 2|290|Sky Sport 2|620|||'Sky Sport 2'
SKY Sport Austria|286|Sky Sport Austria|622|Sky Sport Austria|SPO-A|'Sky Sport Austria'
SKY Sport HD 2|290hd|Sky Sport HD 2|697|Sky Sport HD 2|SHD2|'Sky Sport HD 2'
SKY Sport HD|289hd|Sky Sport HD 1|621|Sky Sport HD 1|HDSPO|'Sky Sport HD 1'
Sky Sport News HD|411|Sky Sport News HD|762|Sky Sport News HD|SNHD|'Sky Sport News' 'Sky Sport News HD' 'Sky Sport NEWS'
Spiegel Geschichte|285|Spiegel Geschichte|625|Spiegel Geschichte|SP-GE|'Spiegel Geschichte' 'Spiegel Geschichte HD'
Spiegel TV Wissen|406|Spiegel TV Wissen|756|Spiegel TV Wissen|SPTVW|'SPIEGEL TV WISSEN' 'SPIEGEL TV WISSEN HD' 'Spiegel TV Wissen' 'Spiegel TV Wissen HD'
Sport1+|420|SPORT1+|698|SPORT1+|S1PLU|'SPORT1+' 'SPORT1+ HD'
Sport1 US|440|Sport1 US|784|SPORT1 US|SP1US|'SPORT1 US' 'SPORT1 US HD'
sportdigital.tv|263|sportdigital|564|sportdigital|SPO-D|'sportdigital' 'sportdigital HD'
||||SR|SR|'SR Fernsehen' 'SR Fernsehen HD'
S RTL|13|Super RTL|43|SUPER RTL|SUPER|'SUPER RTL' 'SUPER RTL HD'
SWR|8|SWR|666|SWR BW|SWRBW|'SWR Fernsehen BW' 'SWR Fernsehen BW HD'  'SWR BW HD'
SWR|8|SWR|666|SWR RP|SWRRP|'SWR Fernsehen RP' 'SWR Fernsehen RP HD'  'SWR RP HD'
Tele5|55|Tele 5|277|Tele 5|TELE5|'TELE 5' 'TELE 5 HD'
TLC|445|TLC|136012|TLC|TLC|'TLC' 'TLC HD'
||TLC HD|136012|||'TLC HD'
||TNT Comedy|12035|||'TNT Comedy'
||TNT Comedy HD|12036|TNT Comedy|TNT-C|'TNT Comedy HD'
TNT Serie|267|TNT Serie|590|TNT Serie|TNT-S|'TNT Serie' 'TNT Serie HD' 'TNT Serie (KD)' 'TNT Serie (S)' 'TNT Serie HD (S)'
||||TOGGO plus|TOGGO|'TOGGO plus'
Turner Classic Movies|220|TNT Film|633|TNT Film|TNT-F|'TNT Film' 'TNT Film (TCM)' 'TNT Film HD'
Universal Channel|441|Universal Channel HD|10139|Universal Channel HD|UNIVE|'Universal Channel HD' 'Universal HD'
VH1 Classic|187|VH1 Classic|296|VH1 Classic|VH1|'VH1' 'VH1 Classic'
||Viva / Comedy Central|136066|||'Comedy Central/VIVA' 'Comedy Central HD/VIVA HD' 'COMEDY CENTRAL/VIVA' 'COMEDY CENTRAL HD/VIVA HD'
VOX|46|VOX|42|VOX|VOX|'VOX' 'VOX HD'
WDR|9|WDR|46|WDR Aachen|WDR-AC|'TNT Comedy HD'
WDR|9|WDR|46|WDR Bielefeld|WDR-BI|'WDR Bielefeld' 'WDR HD Bielefeld' 'WDR Bielefeld HD'
WDR|9|WDR|46|WDR Bonn|WDR-BN|'WDR Bonn' 'WDR HD Bonn' 'WDR Bonn HD'
WDR|9|WDR|46|WDR Dortmund|WDR-DO|'WDR Dortmund' 'WDR HD Dortmund' 'WDR Dortmund HD'
WDR|9|WDR|46|WDR Duisburg|WDR-DU|'WDR Duisburg' 'WDR HD Duisburg' 'WDR Duisburg HD'
WDR|9|WDR|46|WDR Düsseldorf|WDR-D|'WDR Düsseldorf' 'WDR HD Düsseldorf' 'WDR Düsseldorf HD'
WDR|9|WDR|46|WDR Essen|WDR-E|'WDR Essen' 'WDR HD Essen' 'WDR Essen HD'
WDR|9|WDR|46|WDR Köln|WDR-K|'WDR Köln' 'WDR HD Köln' 'WDR Köln HD'
WDR|9|WDR|46|WDR Münster|WDR-MS|'WDR Münster' 'WDR HD Münster' 'WDR Münster HD'
WDR|9|WDR|46|WDR Siegen|WDR-SI|'WDR Siegen' 'WDR HD Siegen' 'WDR Siegen HD'
WDR|9|WDR|46|WDR Wuppertal|WDR-W|'WDR Wuppertal'  'WDR HD Wuppertal' 'WDR Wuppertal HD'
||||Welt der Wunder TV|WDWTV|'Welt der Wunder'
XXP|52|DMAX|507|DMAX|DMAX|'DMAX' 'DMAX HD'
ZDF|2|ZDF|37|ZDF|ZDF|'ZDF' 'ZDF HD'
ZDFInfo|137|ZDFinfo|659|ZDFinfo|ZINFO|'zdf_neo' 'zdf_neo HD' 'ZDF_neo HD'
ZDF Kultur|378|||||'zdf.kultur' 'zdf.kultur HD'
ZDFneo|294|ZDFneo|276|ZDFneo|2NEO|'ZDFinfo' 'ZDFinfo HD'
ZeeOne|176|||Zee.One|ZEE-1|'Zee One' 'Zee One HD' 'ZeeOne' 'ZeeOne HD'
